,0,0.075,0.25,0.5,0.75,1,1.25,1.5,SAR
0,0,0,0,0,0,0,0.044,0.098,0
0.5,0.053,0.162,0.235,0.258,0.267,0.28,0.318,0.378,0.243
1,0.16,0.324,0.435,0.486,0.505,0.522,0.554,0.613,0.458
1.5,0.286,0.467,0.581,0.65,0.681,0.7,0.728,0.779,0.62
2,0.423,0.591,0.702,0.774,0.808,0.83,0.852,0.89,0.746
3,0.696,0.793,0.867,0.921,0.948,0.964,0.975,0.984,0.901
4,0.903,0.929,0.962,0.983,0.994,0.999,1,1,0.975
5,0.99,0.991,0.995,0.998,1,1,1,1,0.997
6,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1
12,0.996,0.997,1,1,1,1,1,1,0.999
13,0.958,0.976,0.996,1,1,1,1,1,0.995
14,0.858,0.906,0.958,0.991,1,1,1,1,0.974
15,0.686,0.78,0.872,0.941,0.972,0.988,0.996,1,0.915
16,0.486,0.625,0.726,0.831,0.9,0.941,0.969,0.991,0.806
17,0.302,0.442,0.542,0.656,0.765,0.851,0.915,0.964,0.649
18,0.146,0.266,0.337,0.427,0.56,0.712,0.832,0.896,0.449
18.5,0.092,0.185,0.232,0.298,0.425,0.617,0.764,0.84,0.336
19,0.045,0.105,0.13,0.166,0.263,0.503,0.67,0.76,0.212
19.5,0.013,0.026,0.032,0.035,0.071,0.353,0.546,0.644,0.079
20,0,0,0,0,0,0.16,0.37,0.476,0.1
MaxBm,0.85,0.97,1,1,1,1,1,1,
