,0,0.075,0.25,0.5,0.75,1,1.25,1.5,SAR
0,0,0,0,0,0,0,0.019,0.045,0
0.5,0,0.037,0.056,0.058,0.06,0.066,0.09,0.138,0.055
1,0.016,0.081,0.11,0.122,0.126,0.135,0.166,0.236,0.115
1.5,0.024,0.125,0.174,0.194,0.204,0.216,0.251,0.336,0.184
2,0.041,0.177,0.244,0.277,0.291,0.308,0.35,0.434,0.261
3,0.109,0.298,0.401,0.455,0.48,0.508,0.552,0.625,0.432
4,0.239,0.452,0.57,0.636,0.667,0.694,0.734,0.788,0.609
5,0.408,0.619,0.729,0.794,0.821,0.842,0.867,0.903,0.765
6,0.604,0.767,0.853,0.905,0.92,0.93,0.946,0.964,0.879
7,0.788,0.886,0.939,0.966,0.972,0.978,0.984,0.991,0.951
8,0.928,0.962,0.982,0.996,0.995,0.997,0.998,1,0.987
9,0.999,0.996,0.999,1,1,1,1,1,0.999
10,1,1,1,1,1,1,1,1,1
11,0.98,0.993,0.996,1,1,1,1,1,0.998 
12,0.922,0.954,0.976,0.997,1,1,1,1,0.987
13,0.808,0.873,0.928,0.976,0.992,0.998,1,1,0.958
14,0.659,0.76,0.837,0.92,0.963,0.984,0.994,1,0.898
15,0.492,0.62,0.705,0.813,0.894,0.949,0.98,0.995,0.797
16,0.322,0.46,0.544,0.658,0.778,0.875,0.941,0.976,0.662
17,0.17,0.304,0.377,0.472,0.601,0.755,0.864,0.93,0.492
18,0.066,0.17,0.217,0.27,0.37,0.572,0.736,0.845,0.303
18.5,0.034,0.113,0.145,0.178,0.25,0.458,0.651,0.779,0.209
19,0.016,0.063,0.08,0.094,0.135,0.331,0.547,0.693,0.121
19.5,0.011,0.02,0.02,0.022,0.037,0.205,0.427,0.584,0.042
20,0,0,0,0,0,0.084,0.272,0.426,0.005
MaxBm,0.739,0.904,0.992,1,1,1,1,1
